keyword,name,link,desc
画不出的她,画不出的她（71集）梁中琪&樊楚琦,https://pan.baidu.com/s/1Unj8UdJPxKATOI4-aCINsA?pwd=beke,都市情感
亿万负豪,亿万负豪：从错打八千万开始（71集）张子寒＆苏凝,https://pan.baidu.com/s/1oLbbGFqs2oqlzI73PI6iVg?pwd=edm7,神豪逆袭
我为真凤,我为真凤，当朝huang帝我来定（81集）陈立扬＆魏予欣,https://pan.baidu.com/s/1N1gArkcFDlwRtov9MGFx3A?pwd=j21r,古装权谋
各大宗门比底蕴,各大宗门比底蕴我穷的只剩大帝（75集）胡栩耀＆刘艺然,https://pan.baidu.com/s/11ErcWndlP8DLISKsZEZPDA?pwd=qf61,玄幻修仙
神瞳在手,神瞳在手古玩界横着走（95集）潘悦铭＆可凡,https://pan.baidu.com/s/1nscRBKHNSicXtWIJWW17mg?pwd=0nen,异能鉴宝
1982淘金记,1982淘金记：重生者的财富密码（80集）常修旺＆李晓雨,https://pan.baidu.com/s/14I46lHSOBEv0gbrSKB79fQ?pwd=m8pb,年代重生
跟踪狂翻车,跟踪狂翻车后反被病娇缠上了（65集）赵泽帆＆欧阳瑞泽,https://pan.baidu.com/s/1SSF47evKgidt7wv1uCeeiw?pwd=9acm,悬疑爱情
微光遇良人,微光遇良人（60集）唐皓哲＆王婧怡,https://pan.baidu.com/s/19PIIUtdlzxochRE3aw4N1Q?pwd=5vtt,治愈甜宠
要亡国了,要亡国了那朕先纳个妃（70集）江佳瞳＆胡曦＆侯泽霖,https://pan.baidu.com/s/14qDDssT_qqR_eraKFvfhUQ?pwd=4nrr,古装喜剧
狂龙归来,狂龙归来，一身疤痕被曝光（73集）周朕＆李若希,https://pan.baidu.com/s/1BERjMBsu5qOZlxRMIViiUA?pwd=7qe9,战神归来
杀猪神医,杀猪神医，大小姐别慌（80集）舒瀚＆杨晰茹,https://pan.baidu.com/s/1vH9hCtaY_ZSmWRkDoYdnDw?pwd=3hm3,都市医术
提取她们相亲愿望,提取她们相亲愿望，我成首富了（80集）文静＆廖家昊,https://pan.baidu.com/s/1Mc3Evo3eWZoL7YsIF_klTA?pwd=kyk9,系统爽剧
缅国大嫂,缅国大嫂别怕，我靠透视当大哥（80集）郭建清＆崔栩淙,https://pan.baidu.com/s/1bKMmtIeDyzj11DK7ivVZgQ?pwd=hqbd,异能黑道
脸有多大,脸有多大，旺子孙的福崽你都敢扔（80集）李沐杰＆王晗菲,https://pan.baidu.com/s/1QodHUUkAxlLcGkJ-MtF2Iw?pwd=iqqh,萌宝家庭
听见心声,听见心声后，豪门孕妈救全家（70集）卫仁越＆詹妮,https://pan.baidu.com/s/1nTZomi8DNDWiYUUO8ncRDQ?pwd=7323,读心萌宝
随身空间,随身空间，80年代带崽改嫁大佬（68集）李启歌＆张心怡,https://pan.baidu.com/s/1XRjwNc_qgPkyw5klF0Bcnw?pwd=y2yu,年代种田
雪崩后,雪崩后，我再次让出担架全家都慌了（61集）程晨＆黄子珺,https://pan.baidu.com/s/1yDIBY4MUwBzH5qahhn0uJA?pwd=f8s6,家庭伦理
报君黄金台上意,报君黄金台上意（100集）龙政璇&张元帅,https://pan.baidu.com/s/1p9HMkQIM8bxG8rdRYYRm_w?pwd=ij9f,古装权谋
东北过大年,东北过大年：马到成功（78集）邹斯琦＆刘博威,https://pan.baidu.com/s/17gkFYLXwSYzGYhWl_IDKww?pwd=qo9p,年代亲情
江律师今天动心了吗,江律师今天动心了吗（64集）傅浩楠＆杜昕乐,https://pan.baidu.com/s/1JS4c-Cb5Hpoj9mjGITAGfg?pwd=xglm,职场爱情
大佬们的小奶团,大佬们的小奶团是朵黑心莲（67集）,https://pan.baidu.com/s/1U0gCcSQg61QUwFVAhwbXzQ?pwd=2k4e,萌宝团宠
春尽人不归,春尽人不归（60集）艾泓辰＆赵佳欣,https://pan.baidu.com/s/1Wvbl0abqPDh3jcsveojbVw?pwd=zdmc,虐恋悲情
那年江火照离殇,那年江火照离殇（49集）刘渝展＆姜悦,https://pan.baidu.com/s/1eYREmpQJmBaz5S2t_NUXJg?pwd=s47e,民国虐恋
春运之夫人绝世无双,春运之夫人绝世无双（60集）汪巧&朱宸钧,https://pan.baidu.com/s/1zXKNmf6Q_jyGDdLyvAo3tw?pwd=t4lf,现代言情
宫阙绣平生,宫阙绣平生（44集）Ai短剧,https://pan.baidu.com/s/1cI4GJF8b16GbZGnflQBtgA?pwd=iizg,古装宫廷
绣山河,绣山河：废妃她谋的是天下（36集）Ai短剧,https://pan.baidu.com/s/11O3HjZph6CJthEoN2MKiZQ?pwd=zq88,古装女强
医毒双绝,医毒双绝：侯府弃女归来（29集）Ai短剧,https://pan.baidu.com/s/1qOxzveWaXDZZu7TXY_gsgg?pwd=ufnp,古装复仇
迟爱予风,迟爱予风（40集）Ai短剧,https://pan.baidu.com/s/1u9jvVg4fsofcsnH3XcSVJA?pwd=1t2w,都市虐恋
兄护卿安,兄护卿安（34集）AI短剧,https://pan.baidu.com/s/1727biiXA0hiUw4Dw1KrriQ?pwd=1nc2,兄妹情深
深渊之舟,深渊之舟（60集）禹星臣＆张海文,https://pan.baidu.com/s/1cyvqaKLeFCanFeKj1th5Ag?pwd=to12,悬疑惊悚
999种神级身份,999种神级身份，花式吊打主角（80集）车美艳&徐彬兵,https://pan.baidu.com/s/1vsT9N-iCPrwe4IW8vq06BA?pwd=r235,马甲爽剧
皇后驾到,皇后驾到,https://pan.baidu.com/s/1WY53Kn9nKxbyujovXt0qrQ?pwd=k11q,古装穿越
如沫离渊,如沫离渊（60集）罗嘉麒&陈知恩,https://pan.baidu.com/s/1vblSQdaFedCU5SoElboGIA?pwd=smqw,都市虐恋
恋爱脑我演的,恋爱脑我演的，腹黑总裁追妻来真的（86集）章滢＆吴林,https://pan.baidu.com/s/1L5xXFI86FhDmFTAdfGvuZA?pwd=c6q5,霸总甜宠
